id,answer
0,browsers support
1,extension is
2,to the
3,browser (
4,would eventually
5,"Windows ,"
6,web browser
7,browsers supported
8,recent major
9,web browser
10,v Commission
11,also used
12,enough money
13,"2009 ,"
14,the director
15,Safari had
16,"2009 ,"
17,also support
18,", Google"
19,enough money
20,browsers range
21,"2009 ,"
22,take-up has
23,contains the
24,user-base continued
25,", all"
26,"2011 ,"
27,", on"
28,", Netscape"
29,version has
30,development of
31,of the
32,", Netscape"
33,are primarily
34,"Windows ,"
35,comparison of
36,the leader
37,consist of
38,", Google"
39,also include
40,may contain
41,", web"
42,", a"
43,also called
44,recent major
45,of the
46,", browser"
47,are primarily
48,Mobile Safari
49,Mobile Safari
50,browsers can
51,"Windows ,"
52,", mailto"
53,extension is
54,Chinese followed
55,boycott was
56,have also
57,"protests ,"
58,What a
59,Indian social
60,run ended
61,relay saw
62,claims to
63,media have
64,of the
65,and Legislative
66,was chosen
67,him the
68,before the
69,arrival in
70,government gave
71,was at
72,Stephen Smith
73,What a
74,the Interior
75,have been
76,On April
77,Reporters Without
78,already requested
79,officials had
80,", the"
81,accountability for
82,The Olympic
83,of 120
84,from both
85,the torch
86,of 1000
87,: The
88,is frequently
89,police briefing
90,"17 ,"
91,reported that
92,the protests
93,: The
94,reported that
95,banner reading
96,", the"
97,the rally
98,in Turkey
99,in Beijing
100,The event
101,American was
102,the first
103,setback to
104,have also
105,Flame is
106,thousand people
107,claims to
108,What a
109,: The
110,The torch
111,ceremony at
112,police were
113,have assurances
114,with a
115,Stephen Smith
116,setback to
117,the Hong
118,of the
119,Maria Nafpliotou
120,of the
121,reports that
122,have been
123,made from
124,Mia Farrow
125,was chosen
126,Australia 's
127,Oman :
128,of the
129,that protesters
130,: The
131,The event
132,made from
133,began at
134,ceremony held
135,temple Zenkō-ji
136,: The
137,of the
138,banner reading
139,"as 1,000"
140,: The
141,The event
142,was Thupten
143,the Delhi
144,Libération commented
145,carried the
146,published on
147,was extinguished
148,counter-demonstrators were
149,The event
150,police were
151,could not
152,to the
153,torchbearers Kiran
154,newspaper Libération
155,American was
156,"high ,"
157,these protests
158,the Interior
159,Chinese followed
160,time an
161,changes allowed
162,On April
163,and Richard
164,"Francisco ,"
165,What a
166,Flame is
167,Telegraph published
168,director of
169,Chinese guards
170,Nations Organization
171,arrived in
172,was extinguished
173,who is
174,The first
175,Summer Olympics
176,resident was
177,time an
178,and journalists
179,him the
180,arrived in
181,the event
182,was Jane
183,Summer Olympics
184,Zenkoji monks
185,: The
186,Indian social
187,"20 ,"
188,images of
189,was not
190,several protests
191,already requested
192,Due to
193,could not
194,traveled a
195,", the"
196,the Tibetan
197,was Jane
198,key is
199,the day
200,time an
201,newspaper Libération
202,relay then
203,to the
204,"high ,"
205,What a
206,protests were
207,American was
208,The torch
209,family with
210,route originally
211,football captain
212,The event
213,the Chinese
214,The torch
215,the torchbearers
216,several protests
217,Chinese demands
218,What a
219,days prior
220,gave a
221,Oman :
222,Galschiøt and
223,Chinese guards
224,Chinese demands
225,the Hong
226,descended into
227,"Phiếu ,"
228,Summer Olympics
229,"Phiếu ,"
230,gasoline on
231,several protests
232,The torch
233,have been
234,published on
235,Flame is
236,ran 20
237,the rally
238,reported that
239,made from
240,The event
241,", also"
242,told a
243,have also
244,closing ceremony
245,On April
246,also began
247,The event
